"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"MC, 5/28/19","Samp","Al 394.401","",0.20,"ppm",0.20,"ppm",3005
"MC, 5/28/19","Samp","Ca 422.673","",5.27,"ppm",5.27,"ppm",555485
"MC, 5/28/19","Samp","Cu 324.754","",0.14,"ppm",0.14,"ppm",5591
"MC, 5/28/19","Samp","Fe 238.204","",0.11,"ppm",0.11,"ppm",2577
"MC, 5/28/19","Samp","K MultiCal","","-","ppm",0.30,"-","-"
"MC, 5/28/19","Samp","Mg 280.270","",0.23,"ppm",0.23,"ppm",13389
"MC, 5/28/19","Samp","Mn 259.372","",0.21,"ppm",0.21,"ppm",9265
"MC, 5/28/19","Samp","Mo 204.598","",0.40,"ppm",0.40,"ppm",1321
"MC, 5/28/19","Samp","Na MultiCal","","-","ppm",46.41,"-","-"
"MC, 5/28/19","Samp","Ni 230.299","",0.17,"ppm",0.17,"ppm",1439
"MC, 5/28/19","Samp","P multical","","-","ppm",12.15,"-","-"
"MC, 5/28/19","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",120.1
"MC, 5/28/19","Samp","Zn 206.200","",0.18,"ppm",0.18,"ppm",547.7
"V D36_19-079","Samp","Al 394.401","",6.94,"ppm",6.94,"ppm",95183
"V D36_19-079","Samp","Ca 422.673","",5.66,"ppm",5.66,"ppm",594784
"V D36_19-079","Samp","Cu 324.754","",0.03,"ppm",0.03,"ppm",1715
"V D36_19-079","Samp","Fe 238.204","",12.06,"ppm",12.06,"ppm",278692
"V D36_19-079","Samp","K MultiCal","","-","ppm",3.24,"-","-"
"V D36_19-079","Samp","Mg 280.270","",2.50,"ppm",2.50,"ppm",154294
"V D36_19-079","Samp","Mn 259.372","",0.63,"ppm",0.63,"ppm",29578
"V D36_19-079","Samp","Mo 204.598","",0.28,"ppm",0.28,"ppm",948.6
"V D36_19-079","Samp","Na MultiCal","","-","ppm",2.91,"-","-"
"V D36_19-079","Samp","Ni 230.299","",0.01,"ppm",0.01,"ppm",309.7
"V D36_19-079","Samp","P multical","","-","ppm",0.51,"-","-"
"V D36_19-079","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",545.3
"V D36_19-079","Samp","Zn 206.200","",0.10,"ppm",0.10,"ppm",325.5
"V D36_19-080","Samp","Al 394.401","",4.28,"ppm",4.28,"ppm",58958
"V D36_19-080","Samp","Ca 422.673","",5.22,"ppm",5.22,"ppm",549947
