"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"QCW","Samp","Al MultiCal","","-","g/mL",0.12,"-","-"
"QCW","Samp","Ca MultiCal","","-","g/mL",2.38,"-","-"
"QCW","Samp","Cu MultiCal","","-","g/mL",0.07,"-","-"
"QCW","Samp","K MultiCal","","-","g/mL",0.23,"-","-"
"QCW","Samp","Mg  MultiCal","","-","g/mL",0.11,"-","-"
"QCW","Samp","Mn MultiCal","","-","g/mL",0.10,"-","-"
"QCW","Samp","P MultiCal","","-","g/mL",7.62,"-","-"
"QCW","Samp","S MultiCal","","-","g/mL",0.07,"-","-"
"QCW","Samp","Zn MultiCal","","-","g/mL",0.10,"-","-"
"NAPT 106A ","Samp","Al MultiCal","","-","g/mL",44.94,"-","-"
"NAPT 106A ","Samp","Ca MultiCal","o","-","g/mL",25.58,"-","-"
"NAPT 106A ","Samp","Cu MultiCal","","-","g/mL",0.05,"-","-"
"NAPT 106A ","Samp","Fe MultiCal","","-","g/mL",8.46,"-","-"
"NAPT 106A ","Samp","K MultiCal","","-","g/mL",11.48,"-","-"
"NAPT 106A ","Samp","Mg  MultiCal","","-","g/mL",1.76,"-","-"
"NAPT 106A ","Samp","Mn MultiCal","","-","g/mL",0.57,"-","-"
"NAPT 106A ","Samp","P MultiCal","","-","g/mL",5.54,"-","-"
"NAPT 106A ","Samp","S MultiCal","","-","g/mL",0.88,"-","-"
"NAPT 106A ","Samp","Zn MultiCal","","-","g/mL",0.14,"-","-"
"NAPT 106B ","Samp","Al MultiCal","","-","g/mL",49.38,"-","-"
"NAPT 106B ","Samp","Ca MultiCal","o","-","g/mL",26.66,"-","-"
"NAPT 106B ","Samp","Cu MultiCal","","-","g/mL",0.04,"-","-"
"NAPT 106B ","Samp","Fe MultiCal","","-","g/mL",9.14,"-","-"
"NAPT 106B ","Samp","K MultiCal","","-","g/mL",11.96,"-","-"
"NAPT 106B ","Samp","Mg  MultiCal","","-","g/mL",2.13,"-","-"
"NAPT 106B ","Samp","Mn MultiCal","","-","g/mL",0.63,"-","-"
"NAPT 106B ","Samp","P MultiCal","","-","g/mL",5.51,"-","-"
"NAPT 106B ","Samp","S MultiCal","","-","g/mL",0.93,"-","-"
"NAPT 106B ","Samp","Zn MultiCal","","-","g/mL",0.15,"-","-"
"NAPT 106C ","Samp","Al MultiCal","","-","g/mL",52.41,"-","-"
"NAPT 106C ","Samp","Ca MultiCal","o","-","g/mL",27.19,"-","-"
"NAPT 106C ","Samp","Cu MultiCal","","-","g/mL",0.04,"-","-"
"NAPT 106C ","Samp","Fe MultiCal","","-","g/mL",9.72,"-","-"
"NAPT 106C ","Samp","K MultiCal","","-","g/mL",13.16,"-","-"
"NAPT 106C ","Samp","Mg  MultiCal","","-","g/mL",2.26,"-","-"
"NAPT 106C ","Samp","Mn MultiCal","","-","g/mL",0.69,"-","-"
"NAPT 106C ","Samp","P MultiCal","","-","g/mL",5.52,"-","-"
