"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"QCW","Samp","Mg Multical","","-","ppm",0.43,"-","-"
"QCW","Samp","Ca Multical","","-","ppm",3.55,"-","-"
"QCW","Samp","Al 394.401","",0.41,"ppm",0.41,"ppm",13358
"QCW","Samp","Cu 324.754","",0.36,"ppm",0.36,"ppm",23511
"QCW","Samp","Fe 238.204","",0.19,"ppm",0.19,"ppm",9347
"QCW","Samp","K MultiCal","","-","ppm",0.39,"-","-"
"QCW","Samp","Mn 259.372","",0.43,"ppm",0.43,"ppm",47429
"QCW","Samp","Mo 204.598","",0.62,"ppm",0.62,"ppm",3641
"QCW","Samp","Na MultiCal","","-","ppm",32.85,"-","-"
"QCW","Samp","Ni 230.299","",0.43,"ppm",0.43,"ppm",5518
"QCW","Samp","P multical","","-","ppm",8.45,"-","-"
"QCW","Samp","S 181.972","",0.31,"ppm",0.31,"ppm",164.3
"QCW","Samp","Zn 206.200","",0.44,"ppm",0.44,"ppm",2129
"Rack# 3307 LTAR19-001","Samp","Mg Multical","","-","ppm",5.20,"-","-"
"Rack# 3307 LTAR19-001","Samp","Ca Multical","o","-","ppm",6.74,"-","-"
"Rack# 3307 LTAR19-001","Samp","Al 394.401","",79.51,"ppm",79.51,"ppm",1970990
"Rack# 3307 LTAR19-001","Samp","Cu 324.754","",0.12,"ppm",0.12,"ppm",8327
"Rack# 3307 LTAR19-001","Samp","Fe 238.204","",192.2,"ppm",192.2,"ppm",7382905
"Rack# 3307 LTAR19-001","Samp","K MultiCal","","-","ppm",6.19,"-","-"
"Rack# 3307 LTAR19-001","Samp","Mn 259.372","",8.55,"ppm",8.55,"ppm",919819
"Rack# 3307 LTAR19-001","Samp","Mo 204.598","",0.57,"ppm",0.57,"ppm",3336
"Rack# 3307 LTAR19-001","Samp","Na MultiCal","","-","ppm",0.76,"-","-"
"Rack# 3307 LTAR19-001","Samp","Ni 230.299","",0.15,"ppm",0.15,"ppm",1955
"Rack# 3307 LTAR19-001","Samp","P multical","","-","ppm",4.89,"-","-"
"Rack# 3307 LTAR19-001","Samp","S 181.972","",1.45,"ppm",1.45,"ppm",651.8
"Rack# 3307 LTAR19-001","Samp","Zn 206.200","",0.37,"ppm",0.37,"ppm",1815
"LTAR19-002","Samp","Mg Multical","","-","ppm",5.64,"-","-"
"LTAR19-002","Samp","Ca Multical","o","-","ppm",6.37,"-","-"
"LTAR19-002","Samp","Al 394.401","",90.08,"ppm",90.08,"ppm",2201520
"LTAR19-002","Samp","Cu 324.754","",0.09,"ppm",0.09,"ppm",6711
"LTAR19-002","Samp","Fe 238.204","",153.9,"ppm",153.9,"ppm",6244197
"LTAR19-002","Samp","K MultiCal","","-","ppm",5.87,"-","-"
"LTAR19-002","Samp","Mn 259.372","",9.29,"ppm",9.29,"ppm",998182
"LTAR19-002","Samp","Mo 204.598","",0.11,"ppm",0.11,"ppm",679.0
"LTAR19-002","Samp","Na MultiCal","","-","ppm",0.71,"-","-"
"LTAR19-002","Samp","Ni 230.299","",0.14,"ppm",0.14,"ppm",1892
"LTAR19-002","Samp","P multical","","-","ppm",4.33,"-","-"
"LTAR19-002","Samp","S 181.972","",1.21,"ppm",1.21,"ppm",546.2
"LTAR19-002","Samp","Zn 206.200","",0.34,"ppm",0.34,"ppm",1667
"LTAR19-003","Samp","Mg Multical","","-","ppm",4.56,"-","-"
"LTAR19-003","Samp","Ca Multical","o","-","ppm",6.14,"-","-"
"LTAR19-003","Samp","Al 394.401","",72.64,"ppm",72.64,"ppm",1817203
"LTAR19-003","Samp","Cu 324.754","",0.11,"ppm",0.11,"ppm",7838
"LTAR19-003","Samp","Fe 238.204","",165.3,"ppm",165.3,"ppm",6599823
"LTAR19-003","Samp","K MultiCal","","-","ppm",5.78,"-","-"
"LTAR19-003","Samp","Mn 259.372","",3.91,"ppm",3.91,"ppm",424396
"LTAR19-003","Samp","Mo 204.598","",0.06,"ppm",0.06,"ppm",356.3
"LTAR19-003","Samp","Na MultiCal","","-","ppm",0.68,"-","-"
"LTAR19-003","Samp","Ni 230.299","",0.15,"ppm",0.15,"ppm",1958
"LTAR19-003","Samp","P multical","","-","ppm",4.45,"-","-"
