Solution Label,Type,Element,Flags,Soln Conc,Units,Corr Con,Units,Int
QCW,Samp,Al 394.401,,0.33,ppm,0.33,ppm,10226
QCW,Samp,Ca 422.673,,3.81,ppm,3.81,ppm,1676186
QCW,Samp,Cu 324.754,,0.3,ppm,0.3,ppm,16679
QCW,Samp,Fe 238.204,,0.19,ppm,0.19,ppm,7701
QCW,Samp,K MultiCal,,-,ppm,0.39,-,-
QCW,Samp,Mg 280.270,,0.42,ppm,0.42,ppm,51672
QCW,Samp,Mn 259.372,,0.39,ppm,0.39,ppm,33045
QCW,Samp,Mo 204.598,,0.57,ppm,0.57,ppm,2885
QCW,Samp,Na MultiCal,,-,ppm,38.24,-,-
QCW,Samp,Ni 230.299,,0.38,ppm,0.38,ppm,4201
QCW,Samp,P multical,,-,ppm,9.41,-,-
QCW,Samp,S 181.972,,0.25,ppm,0.25,ppm,150
QCW,Samp,Zn 206.200,,0.37,ppm,0.37,ppm,1605
Rack# 3298 UMES 37426,Samp,Al 394.401,,0.22,ppm,0.22,ppm,7277
Rack# 3298 UMES 37426,Samp,Ca 422.673,,6.87,ppm,6.87,ppm,2842911
Rack# 3298 UMES 37426,Samp,Cu 324.754,,0.02,ppm,0.02,ppm,1971
Rack# 3298 UMES 37426,Samp,Fe 238.204,,0.28,ppm,0.28,ppm,11169
Rack# 3298 UMES 37426,Samp,K MultiCal,,-,ppm,4.28,-,-
Rack# 3298 UMES 37426,Samp,Mg 280.270,,2.83,ppm,2.83,ppm,354987
Rack# 3298 UMES 37426,Samp,Mn 259.372,v,0.02,ppm,0.02,ppm,1524
Rack# 3298 UMES 37426,Samp,Mo 204.598,,0.39,ppm,0.39,ppm,1974
Rack# 3298 UMES 37426,Samp,Na MultiCal,,-,ppm,5.97,-,-
Rack# 3298 UMES 37426,Samp,Ni 230.299,,0.01,ppm,0.01,ppm,233.1
Rack# 3298 UMES 37426,Samp,P multical,,-,ppm,0.28,-,-
Rack# 3298 UMES 37426,Samp,S 181.972,,5.97,ppm,5.97,ppm,2459
Rack# 3298 UMES 37426,Samp,Zn 206.200,,0.14,ppm,0.14,ppm,621.9
UMES 37427,Samp,Al 394.401,,0.21,ppm,0.21,ppm,6880
UMES 37427,Samp,Ca 422.673,,8.35,ppm,8.35,ppm,3358710
UMES 37427,Samp,Cu 324.754,,0.01,ppm,0.01,ppm,1077
UMES 37427,Samp,Fe 238.204,,0.08,ppm,0.08,ppm,3391
UMES 37427,Samp,K MultiCal,,-,ppm,6.06,-,-
UMES 37427,Samp,Mg 280.270,,3.39,ppm,3.39,ppm,425885
UMES 37427,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,779.9
UMES 37427,Samp,Mo 204.598,,0.06,ppm,0.06,ppm,354.6
UMES 37427,Samp,Na MultiCal,,-,ppm,7.1,-,-
UMES 37427,Samp,Ni 230.299,,0.01,ppm,0.01,ppm,153.9
UMES 37427,Samp,P multical,,-,ppm,0.24,-,-
UMES 37427,Samp,S 181.972,,7.33,ppm,7.33,ppm,3007
UMES 37427,Samp,Zn 206.200,,0.12,ppm,0.12,ppm,534.4
UMES 37428,Samp,Al 394.401,,0.18,ppm,0.18,ppm,6094
UMES 37428,Samp,Ca 422.673,,9.86,ppm,9.86,ppm,3852243
UMES 37428,Samp,Cu 324.754,uv,0,ppm,0,ppm,812
UMES 37428,Samp,Fe 238.204,,0.12,ppm,0.12,ppm,4748
UMES 37428,Samp,K MultiCal,,-,ppm,2.9,-,-
UMES 37428,Samp,Mg 280.270,,3.19,ppm,3.19,ppm,400761
UMES 37428,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,661.2
UMES 37428,Samp,Mo 204.598,v,0.04,ppm,0.04,ppm,222.1
UMES 37428,Samp,Na MultiCal,,-,ppm,4.58,-,-
UMES 37428,Samp,Ni 230.299,,0.01,ppm,0.01,ppm,140.9
UMES 37428,Samp,P multical,,-,ppm,0.09,-,-
UMES 37428,Samp,S 181.972,,4.93,ppm,4.93,ppm,2038
UMES 37428,Samp,Zn 206.200,,0.11,ppm,0.11,ppm,521
UMES 37429,Samp,Al 394.401,,0.18,ppm,0.18,ppm,6204
UMES 37429,Samp,Ca 422.673,,8.5,ppm,8.5,ppm,3408509
UMES 37429,Samp,Cu 324.754,uv,0,ppm,0,ppm,734.2
UMES 37429,Samp,Fe 238.204,,0.06,ppm,0.06,ppm,2244
UMES 37429,Samp,K MultiCal,,-,ppm,2.51,-,-
UMES 37429,Samp,Mg 280.270,,2.79,ppm,2.79,ppm,349478
UMES 37429,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,586.6
UMES 37429,Samp,Mo 204.598,v,0.02,ppm,0.02,ppm,161
UMES 37429,Samp,Na MultiCal,,-,ppm,4.08,-,-
UMES 37429,Samp,Ni 230.299,uv,0,ppm,0,ppm,116.1
UMES 37429,Samp,P multical,,-,ppm,0.1,-,-
UMES 37429,Samp,S 181.972,,4.38,ppm,4.38,ppm,1817
UMES 37429,Samp,Zn 206.200,,0.07,ppm,0.07,ppm,325.4
UMES 37430,Samp,Al 394.401,,0.18,ppm,0.18,ppm,6068
UMES 37430,Samp,Ca 422.673,,8.57,ppm,8.57,ppm,3432545
