Solution Label,Al MultiCal,Ca MultiCal,Cu MultiCal,K MultiCal,Mg MultiCal,Mn MultiCal,P MultiCal,S MultiCal,Zn MultiCal,Fe MultiCal
 hub ,75.94,38.51,0.09,26.17,3.65,,4.97,1.55,0.33,9.35
Date,,,,,,,,,,
LTAR19-001 ,62.48,67.25,0.23,16.38,9.49,17.97,6.81,1.08,0.57,11.6
LTAR19-002 ,65.71,53.01,0.15,13.48,5.96,15.75,3.96,0.87,0.34,10.61
LTAR19-003 ,53.47,51.17,0.21,12.07,6.99,9.31,7.3,1.06,0.47,11.17
LTAR19-004 ,61.89,32.44,0.14,9.21,4.59,8.28,4.99,1.33,0.28,9.63
LTAR19-005 ,54.2,60.11,0.26,13.11,9.71,8.47,7.74,1.08,0.57,11.11
LTAR19-006 ,58.72,48.23,0.19,8.61,7.7,9.39,4.58,0.97,0.37,9.9
LTAR19-007 ,65.46,63.65,0.3,21.52,10.58,11.64,6.82,1.06,0.6,11.5
LTAR19-008 ,66.0,60.13,0.22,16.31,13.16,10.91,3.73,1.14,0.39,9.75
LTAR19-009 ,54.03,63.2,0.26,14.61,8.59,8.35,9.06,1.03,0.6,12.39
LTAR19-010 ,56.93,51.66,0.17,9.76,6.39,8.35,5.7,0.9,0.39,10.97
LTAR19-011 ,62.48,101.0,0.38,23.9,16.65,17.8,12.08,1.26,0.88,12.78
LTAR19-012 ,67.11,78.28,0.23,19.47,10.06,13.89,5.43,0.97,0.42,10.66
LTAR19-013 ,62.73,88.91,0.34,21.04,13.66,17.2,6.39,1.23,0.76,10.52
LTAR19-014 ,67.19,75.52,0.23,14.1,11.0,16.29,2.74,1.03,0.38,9.08
LTAR19-015 ,65.36,80.77,0.28,12.24,9.84,13.21,7.28,1.27,0.59,11.5
LTAR19-016 ,65.38,75.19,0.17,6.05,9.7,14.13,3.58,0.9,0.33,10.66
LTAR19-017 ,45.8,99.62,0.38,19.68,12.95,11.6,8.75,1.05,0.89,10.31
LTAR19-018 ,48.74,80.4,0.31,13.99,9.04,12.36,5.38,0.91,0.47,9.64
LTAR19-019 ,54.63,78.32,0.34,21.99,11.53,9.02,9.34,1.16,0.71,10.64
LTAR19-020 ,59.3,59.18,0.22,13.81,7.82,8.86,5.01,1.08,0.39,9.34
LTAR19-021 ,62.75,90.07,0.44,23.8,13.3,19.28,6.64,1.4,0.73,10.9
LTAR19-022 ,69.07,71.24,0.3,10.14,8.99,19.02,3.09,1.09,0.45,9.92
LTAR19-023 ,54.03,93.72,0.42,27.08,14.64,10.09,5.77,1.21,0.65,8.94
LTAR19-024 ,59.12,73.98,0.29,14.55,9.77,11.17,2.41,0.97,0.36,7.22
LTAR19-025 ,51.31,127.4,0.59,38.04,20.4,15.1,11.09,1.69,1.1,12.58
LTAR19-026 ,59.89,82.76,0.34,19.34,10.07,14.28,3.24,1.2,0.42,9.25
LTAR19-027 ,58.86,76.87,0.33,17.62,10.8,11.54,3.45,1.29,0.48,7.77
LTAR19-028 ,62.32,66.81,0.19,8.49,7.79,12.6,1.38,1.02,0.26,6.44
LTAR19-029 ,64.17,94.0,0.45,25.45,14.78,19.95,6.62,1.33,0.74,10.69
LTAR19-030 ,68.34,70.34,0.27,12.46,9.39,16.87,2.78,1.09,0.39,9.17
LTAR19-031 ,33.08,102.3,0.56,20.64,18.81,21.28,6.97,1.15,1.08,7.74
LTAR19-032 ,37.61,70.4,0.29,12.65,9.07,23.53,2.36,0.72,0.5,5.63
LTAR19-033 ,31.72,107.7,0.54,19.66,18.48,20.31,6.85,1.13,1.08,7.5
LTAR19-034 ,35.46,71.04,0.23,13.09,7.76,20.86,1.8,0.67,0.4,5.32
LTAR19-035 ,38.17,115.6,0.53,21.07,20.29,21.31,6.86,1.25,1.15,7.27
LTAR19-036 ,42.13,99.02,0.33,9.59,13.93,23.54,3.62,0.74,0.6,5.4
LTAR19-037 ,38.38,97.28,0.55,21.31,20.64,18.88,6.57,1.15,1.15,7.99
LTAR19-038 ,43.73,71.31,0.34,15.6,12.43,22.12,3.12,0.77,0.59,5.84
LTAR19-039 ,40.16,103.7,0.55,22.81,23.25,19.09,7.08,1.18,1.18,8.85
LTAR19-040 ,45.43,72.49,0.34,17.54,12.49,22.08,3.26,0.83,0.59,6.25
LTAR19-041 ,66.68,98.32,0.51,29.88,18.7,20.87,8.91,1.4,0.82,11.8
LTAR19-042 ,72.54,72.23,0.32,13.62,10.9,16.86,3.6,1.02,0.37,10.14
LTAR19-043 ,62.41,100.8,0.53,23.5,17.57,17.04,7.27,1.42,0.8,10.61
LTAR19-044 ,69.69,74.76,0.25,10.9,11.39,16.01,2.3,0.97,0.32,8.75
LTAR19-045 ,41.01,93.45,0.57,20.53,18.29,17.57,6.94,1.19,1.05,8.4
LTAR19-046 ,47.22,62.61,0.28,11.02,11.3,20.03,2.96,0.89,0.6,6.63
LTAR19-047 ,64.81,120.9,0.6,28.45,21.26,21.52,10.71,1.68,1.07,11.97
LTAR19-048 ,70.58,81.25,0.3,13.59,11.78,18.71,3.31,1.05,0.41,9.44
LTAR19-049 ,64.59,99.52,0.51,22.95,15.34,19.74,9.56,1.25,0.8,12.27
LTAR19-050 ,71.41,78.6,0.33,9.67,9.81,18.67,6.43,1.0,0.43,10.91
LTAR19-051 ,69.6,82.85,0.28,9.67,16.65,17.98,2.64,1.36,0.57,10.19
LTAR19-052 ,70.62,70.52,0.16,4.99,13.29,15.25,1.15,1.09,0.32,8.98
LTAR19-053 ,65.63,98.3,0.34,19.48,18.23,17.63,5.05,1.15,0.66,9.95
LTAR19-054 ,71.5,80.45,0.2,11.2,13.7,13.96,1.66,0.83,0.35,8.51
LTAR19-055 ,62.19,81.51,0.34,12.07,16.53,18.74,4.06,1.24,0.68,9.88
LTAR19-056 ,64.88,66.33,0.2,6.66,14.64,19.15,1.43,0.83,0.35,8.54
LTAR19-057 ,47.5,85.53,0.29,12.16,15.46,18.21,2.32,1.0,0.5,6.15
LTAR19-058 ,51.91,60.65,0.14,5.32,11.06,16.87,0.62,0.66,0.18,4.75
LTAR19-059 ,53.41,89.21,0.32,10.41,15.89,14.77,3.8,1.18,0.66,8.97
